Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,TN,FP,FN,TP
Logistic Regression,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9556277056277056,29,4,3,25
Random Forest,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.948051948051948,28,5,3,25
SVM,0.8360655737704918,0.75,0.9642857142857143,0.84375,0.9307359307359307,24,9,1,27
