,Importance
thal_3,0.1698671860278299
thalach,0.13163747463364694
cp_3,0.1292989111977774
oldpeak,0.09965239125012323
exang_1,0.07012468560197745
age,0.06848574649197839
trestbps,0.05749414043132025
slope_1,0.05004986789647701
sex_1,0.04772206004755815
chol,0.046674678951164
ca_1,0.034713754497509804
cp_2,0.019279787160417616
